time,value (MW)
2024-01-01T00:00,5577.600000
2024-01-01T00:15,5511.200000
2024-01-01T00:30,5443.600000
2024-01-01T00:45,5389.600000
2024-01-01T01:00,5423.600000
2024-01-01T01:15,5349.600000
2024-01-01T01:30,5290.400000
2024-01-01T01:45,5243.200000
2024-01-01T02:00,5172.000000
2024-01-01T02:15,5106.400000
2024-01-01T02:30,5074.400000
2024-01-01T02:45,5089.600000
2024-01-01T03:00,5089.200000
2024-01-01T03:15,5064.400000
2024-01-01T03:30,5070.000000
2024-01-01T03:45,5061.600000
2024-01-01T04:00,5128.800000
2024-01-01T04:15,5149.600000
2024-01-01T04:30,5177.200000
2024-01-01T04:45,5185.200000
2024-01-01T05:00,5211.600000
2024-01-01T05:15,5254.000000
2024-01-01T05:30,5336.400000
2024-01-01T05:45,5388.400000
2024-01-01T06:00,5478.400000
2024-01-01T06:15,5554.000000
2024-01-01T06:30,5652.400000
2024-01-01T06:45,5712.400000
2024-01-01T07:00,5838.400000
2024-01-01T07:15,5880.400000
2024-01-01T07:30,5965.200000
2024-01-01T07:45,6027.200000
2024-01-01T08:00,6124.000000
2024-01-01T08:15,6155.600000
2024-01-01T08:30,6186.400000
2024-01-01T08:45,6201.200000
2024-01-01T09:00,6251.600000
2024-01-01T09:15,6294.400000
2024-01-01T09:30,6286.800000
2024-01-01T09:45,6280.400000
2024-01-01T10:00,6278.400000
2024-01-01T10:15,6297.200000
2024-01-01T10:30,6292.000000
2024-01-01T10:45,6224.800000
2024-01-01T11:00,6250.400000
2024-01-01T11:15,6190.800000
2024-01-01T11:30,6136.000000
2024-01-01T11:45,6077.200000
2024-01-01T12:00,6126.400000
2024-01-01T12:15,6094.800000
2024-01-01T12:30,6103.600000
2024-01-01T12:45,6100.400000
2024-01-01T13:00,6086.400000
2024-01-01T13:15,6101.600000
2024-01-01T13:30,6146.400000
2024-01-01T13:45,6154.800000
2024-01-01T14:00,6230.400000
2024-01-01T14:15,6285.200000
2024-01-01T14:30,6371.200000
2024-01-01T14:45,6449.200000
2024-01-01T15:00,6520.800000
2024-01-01T15:15,6650.800000
2024-01-01T15:30,6812.000000
2024-01-01T15:45,6877.200000
2024-01-01T16:00,6998.000000
2024-01-01T16:15,7043.200000
2024-01-01T16:30,7060.000000
2024-01-01T16:45,7115.600000
2024-01-01T17:00,7126.800000
2024-01-01T17:15,7100.000000
2024-01-01T17:30,7038.000000
2024-01-01T17:45,6975.600000
2024-01-01T18:00,6944.800000
2024-01-01T18:15,6900.000000
2024-01-01T18:30,6839.200000
2024-01-01T18:45,6744.800000
2024-01-01T19:00,6623.600000
2024-01-01T19:15,6540.800000
2024-01-01T19:30,6476.000000
2024-01-01T19:45,6361.600000
2024-01-01T20:00,6258.000000
2024-01-01T20:15,6173.200000
2024-01-01T20:30,6086.800000
2024-01-01T20:45,6052.800000
2024-01-01T21:00,6298.000000
2024-01-01T21:15,6235.200000
2024-01-01T21:30,6100.800000
2024-01-01T21:45,5988.000000
2024-01-01T22:00,5938.400000
2024-01-01T22:15,5830.400000
2024-01-01T22:30,5675.200000
2024-01-01T22:45,5612.400000
2024-01-01T23:00,5731.200000
2024-01-01T23:15,5620.400000
2024-01-01T23:30,5558.800000
2024-01-01T23:45,5448.000000
2024-01-02T00:00,5428.800000
2024-01-02T00:15,5357.200000
2024-01-02T00:30,5294.000000
2024-01-02T00:45,5234.400000
2024-01-02T01:00,5266.000000
2024-01-02T01:15,5243.600000
2024-01-02T01:30,5216.800000
2024-01-02T01:45,5178.000000
2024-01-02T02:00,5183.600000
2024-01-02T02:15,5168.000000
2024-01-02T02:30,5180.800000
2024-01-02T02:45,5184.000000
2024-01-02T03:00,5288.000000
2024-01-02T03:15,5350.400000
2024-01-02T03:30,5398.400000
2024-01-02T03:45,5462.400000
2024-01-02T04:00,5712.000000
2024-01-02T04:15,5852.000000
2024-01-02T04:30,6036.400000
2024-01-02T04:45,6216.800000
2024-01-02T05:00,6422.000000
