time,value (MW)
2024-01-01T00:00,7335.320000
2024-01-01T00:15,7265.050000
2024-01-01T00:30,7247.540000
2024-01-01T00:45,7202.480000
2024-01-01T01:00,7142.980000
2024-01-01T01:15,7066.170000
2024-01-01T01:30,7000.930000
2024-01-01T01:45,6921.650000
2024-01-01T02:00,6878.370000
2024-01-01T02:15,6835.460000
2024-01-01T02:30,6785.060000
2024-01-01T02:45,6754.650000
2024-01-01T03:00,6751.790000
2024-01-01T03:15,6699.040000
2024-01-01T03:30,6680.210000
2024-01-01T03:45,6654.290000
2024-01-01T04:00,6703.010000
2024-01-01T04:15,6707.320000
2024-01-01T04:30,6723.330000
2024-01-01T04:45,6724.010000
2024-01-01T05:00,6805.420000
2024-01-01T05:15,6867.330000
2024-01-01T05:30,6912.360000
2024-01-01T05:45,6907.310000
2024-01-01T06:00,6871.100000
2024-01-01T06:15,6892.090000
2024-01-01T06:30,6956.830000
2024-01-01T06:45,6958.630000
2024-01-01T07:00,7064.420000
2024-01-01T07:15,7145.990000
2024-01-01T07:30,7138.520000
2024-01-01T07:45,7129.760000
2024-01-01T08:00,7206.340000
2024-01-01T08:15,7279.860000
2024-01-01T08:30,7376.070000
2024-01-01T08:45,7444.870000
2024-01-01T09:00,7564.020000
2024-01-01T09:15,7647.820000
2024-01-01T09:30,7724.450000
2024-01-01T09:45,7826.850000
2024-01-01T10:00,7917.120000
2024-01-01T10:15,8008.850000
2024-01-01T10:30,8072.740000
2024-01-01T10:45,8114.950000
2024-01-01T11:00,8167.600000
2024-01-01T11:15,8160.490000
2024-01-01T11:30,8239.190000
2024-01-01T11:45,8251.090000
2024-01-01T12:00,8248.050000
2024-01-01T12:15,8220.670000
2024-01-01T12:30,8198.300000
2024-01-01T12:45,8132.330000
2024-01-01T13:00,8140.260000
2024-01-01T13:15,8107.780000
2024-01-01T13:30,8090.760000
2024-01-01T13:45,8051.210000
2024-01-01T14:00,8061.560000
2024-01-01T14:15,8071.000000
2024-01-01T14:30,8054.760000
2024-01-01T14:45,7991.140000
2024-01-01T15:00,7996.330000
2024-01-01T15:15,8046.980000
2024-01-01T15:30,8123.320000
2024-01-01T15:45,8283.060000
2024-01-01T16:00,8456.610000
2024-01-01T16:15,8517.410000
2024-01-01T16:30,8591.990000
2024-01-01T16:45,8647.260000
2024-01-01T17:00,8741.940000
2024-01-01T17:15,8813.110000
2024-01-01T17:30,8800.020000
2024-01-01T17:45,8772.980000
2024-01-01T18:00,8635.370000
2024-01-01T18:15,8540.770000
2024-01-01T18:30,8468.650000
2024-01-01T18:45,8339.390000
2024-01-01T19:00,8135.640000
2024-01-01T19:15,8052.930000
2024-01-01T19:30,8051.660000
2024-01-01T19:45,7992.840000
2024-01-01T20:00,7946.290000
2024-01-01T20:15,7966.590000
2024-01-01T20:30,7945.220000
2024-01-01T20:45,7875.950000
2024-01-01T21:00,8003.150000
2024-01-01T21:15,8035.160000
2024-01-01T21:30,7972.800000
2024-01-01T21:45,7860.910000
2024-01-01T22:00,7868.740000
2024-01-01T22:15,7816.640000
2024-01-01T22:30,7764.240000
2024-01-01T22:45,7678.030000
2024-01-01T23:00,7647.490000
2024-01-01T23:15,7554.180000
2024-01-01T23:30,7477.870000
2024-01-01T23:45,7377.210000
2024-01-02T00:00,7246.120000
2024-01-02T00:15,7101.060000
