time,value (MW)
2024-01-01T00:00,5087.950000
2024-01-01T01:00,5005.890000
2024-01-01T02:00,4847.100000
2024-01-01T03:00,4806.000000
2024-01-01T04:00,4854.500000
2024-01-01T05:00,4901.280000
2024-01-01T06:00,5036.240000
2024-01-01T07:00,5166.140000
2024-01-01T08:00,5531.100000
2024-01-01T09:00,5946.320000
2024-01-01T10:00,6231.700000
2024-01-01T11:00,6239.560000
2024-01-01T12:00,6212.210000
2024-01-01T13:00,6182.860000
2024-01-01T14:00,6102.430000
2024-01-01T15:00,6268.910000
2024-01-01T16:00,6377.770000
2024-01-01T17:00,6361.830000
2024-01-01T18:00,6342.810000
2024-01-01T19:00,6235.650000
2024-01-01T20:00,5897.540000
2024-01-01T21:00,5773.490000
2024-01-01T22:00,5441.860000
2024-01-01T23:00,5288.430000
2024-01-02T00:00,5289.400000
2024-01-02T01:00,5104.730000
2024-01-02T02:00,5039.010000
2024-01-02T03:00,5254.720000
2024-01-02T04:00,5842.820000
2024-01-02T05:00,6806.450000
2024-01-02T06:00,7445.520000
2024-01-02T07:00,7800.140000
2024-01-02T08:00,8132.150000
2024-01-02T09:00,8351.920000
2024-01-02T10:00,8537.270000
2024-01-02T11:00,8596.100000
2024-01-02T12:00,8654.720000
2024-01-02T13:00,8470.210000
2024-01-02T14:00,8396.410000
2024-01-02T15:00,8381.780000
2024-01-02T16:00,8284.970000
2024-01-02T17:00,8110.300000
2024-01-02T18:00,7992.420000
2024-01-02T19:00,7707.090000
2024-01-02T20:00,7234.340000
2024-01-02T21:00,6873.140000
2024-01-02T22:00,6386.200000
2024-01-02T23:00,6134.090000
2024-01-03T00:00,6163.270000
2024-01-03T01:00,5995.930000
2024-01-03T02:00,5956.730000
2024-01-03T03:00,6079.400000
2024-01-03T04:00,6655.600000
2024-01-03T05:00,7665.420000
2024-01-03T06:00,8205.310000
2024-01-03T07:00,8318.740000
2024-01-03T08:00,8469.160000
2024-01-03T09:00,8501.760000
2024-01-03T10:00,8515.680000
2024-01-03T11:00,8589.040000
2024-01-03T12:00,8686.230000
2024-01-03T13:00,8391.600000
2024-01-03T14:00,8316.370000
2024-01-03T15:00,8413.480000
2024-01-03T16:00,8426.280000
2024-01-03T17:00,8276.040000
2024-01-03T18:00,8174.870000
2024-01-03T19:00,7913.530000
2024-01-03T20:00,7431.920000
2024-01-03T21:00,7020.240000
2024-01-03T22:00,6573.480000
2024-01-03T23:00,6300.280000
2024-01-04T00:00,6321.650000
2024-01-04T01:00,6155.450000
2024-01-04T02:00,6121.500000
2024-01-04T03:00,6311.840000
2024-01-04T04:00,6861.450000
2024-01-04T05:00,7869.420000
2024-01-04T06:00,8427.950000
2024-01-04T07:00,8531.100000
2024-01-04T08:00,8695.830000
2024-01-04T09:00,8751.370000
2024-01-04T10:00,8836.400000
2024-01-04T11:00,8794.320000
2024-01-04T12:00,8814.110000
2024-01-04T13:00,8606.830000
2024-01-04T14:00,8545.410000
2024-01-04T15:00,8617.210000
2024-01-04T16:00,8599.240000
2024-01-04T17:00,8489.400000
2024-01-04T18:00,8366.320000
2024-01-04T19:00,8066.960000
2024-01-04T20:00,7622.980000
2024-01-04T21:00,7235.970000
2024-01-04T22:00,6795.210000
2024-01-04T23:00,6500.460000
2024-01-05T00:00,6535.380000
2024-01-05T01:00,6393.290000
2024-01-05T02:00,6310.090000
2024-01-05T03:00,6494.200000
2024-01-05T04:00,7021.260000
2024-01-05T05:00,8076.500000
2024-01-05T06:00,8611.810000
2024-01-05T07:00,8749.350000
2024-01-05T08:00,8868.930000
2024-01-05T09:00,8873.690000
2024-01-05T10:00,8829.850000
2024-01-05T11:00,8816.070000
2024-01-05T12:00,8755.290000
2024-01-05T13:00,8506.030000
2024-01-05T14:00,8424.770000
2024-01-05T15:00,8544.080000
2024-01-05T16:00,8514.910000
2024-01-05T17:00,8372.990000
2024-01-05T18:00,8255.620000
2024-01-05T19:00,7938.410000
2024-01-05T20:00,7463.270000
2024-01-05T21:00,7037.150000
2024-01-05T22:00,6561.140000
2024-01-05T23:00,6133.060000
2024-01-06T00:00,5998.910000
2024-01-06T01:00,5945.670000
2024-01-06T02:00,5981.530000
2024-01-06T03:00,6016.740000
2024-01-06T04:00,6090.770000
2024-01-06T05:00,6290.750000
2024-01-06T06:00,6615.180000
2024-01-06T07:00,6905.280000
2024-01-06T08:00,7384.130000
2024-01-06T09:00,7735.200000
2024-01-06T10:00,7932.210000
2024-01-06T11:00,7896.860000
2024-01-06T12:00,7887.040000
2024-01-06T13:00,7717.310000
2024-01-06T14:00,7603.410000
2024-01-06T15:00,7625.170000
2024-01-06T16:00,7642.980000
2024-01-06T17:00,7498.760000
2024-01-06T18:00,7331.830000
2024-01-06T19:00,7173.550000
2024-01-06T20:00,6814.020000
2024-01-06T21:00,6621.940000
2024-01-06T22:00,6380.610000
2024-01-06T23:00,6043.270000
2024-01-07T00:00,5962.050000
2024-01-07T01:00,5971.630000
2024-01-07T02:00,5969.170000
2024-01-07T03:00,6089.740000
2024-01-07T04:00,6148.770000
2024-01-07T05:00,6321.180000
2024-01-07T06:00,6643.780000
2024-01-07T07:00,6902.410000
2024-01-07T08:00,7520.930000
2024-01-07T09:00,7951.750000
2024-01-07T10:00,8214.070000
2024-01-07T11:00,8137.790000
2024-01-07T12:00,8149.830000
2024-01-07T13:00,8005.910000
2024-01-07T14:00,7913.210000
2024-01-07T15:00,8081.330000
2024-01-07T16:00,8290.820000
2024-01-07T17:00,8316.860000
2024-01-07T18:00,8203.640000
2024-01-07T19:00,8108.800000
2024-01-07T20:00,7751.790000
2024-01-07T21:00,7646.930000
2024-01-07T22:00,7353.970000
2024-01-07T23:00,7183.620000
2024-01-08T00:00,7253.460000
2024-01-08T01:00,7149.960000
2024-01-08T02:00,7123.850000
2024-01-08T03:00,7297.380000
2024-01-08T04:00,7886.450000
2024-01-08T05:00,9019.780000
2024-01-08T06:00,9649.470000
2024-01-08T07:00,9818.480000
2024-01-08T08:00,9983.610000
2024-01-08T09:00,10021.740000
2024-01-08T10:00,10079.350000
2024-01-08T11:00,10118.020000
2024-01-08T12:00,10122.310000
2024-01-08T13:00,9792.310000
2024-01-08T14:00,9672.630000
2024-01-08T15:00,9763.970000
2024-01-08T16:00,9848.730000
2024-01-08T17:00,9768.240000
2024-01-08T18:00,9693.000000
2024-01-08T19:00,9457.810000
2024-01-08T20:00,9035.400000
2024-01-08T21:00,8578.770000
2024-01-08T22:00,8117.020000
2024-01-08T23:00,7849.870000
2024-01-09T00:00,7918.960000
2024-01-09T01:00,7829.820000
2024-01-09T02:00,7840.390000
2024-01-09T03:00,8046.620000
2024-01-09T04:00,8638.120000
2024-01-09T05:00,9700.840000
2024-01-09T06:00,10322.340000
2024-01-09T07:00,10401.930000
2024-01-09T08:00,10537.970000
2024-01-09T09:00,10498.000000
2024-01-09T10:00,10440.690000
2024-01-09T11:00,10384.100000
2024-01-09T12:00,10311.040000
2024-01-09T13:00,9925.700000
2024-01-09T14:00,9821.580000
2024-01-09T15:00,9963.010000
2024-01-09T16:00,10084.540000
2024-01-09T17:00,9974.370000
2024-01-09T18:00,9938.190000
2024-01-09T19:00,9688.060000
2024-01-09T20:00,9232.610000
2024-01-09T21:00,8838.080000
2024-01-09T22:00,8378.160000
2024-01-09T23:00,8100.870000
2024-01-10T00:00,8161.370000
2024-01-10T01:00,8063.620000
2024-01-10T02:00,8058.890000
2024-01-10T03:00,8274.470000
2024-01-10T04:00,8845.010000
2024-01-10T05:00,9889.170000
2024-01-10T06:00,10400.680000
2024-01-10T07:00,10428.460000
