time,value (MW)
2024-01-01T00:00,11311.900000
2024-01-01T00:15,11280.720000
2024-01-01T00:30,11247.950000
2024-01-01T00:45,11127.990000
2024-01-01T01:00,11127.200000
2024-01-01T01:15,11073.620000
2024-01-01T01:30,10982.280000
2024-01-01T01:45,10894.300000
2024-01-01T02:00,10848.260000
2024-01-01T02:15,10757.630000
2024-01-01T02:30,10782.920000
2024-01-01T02:45,10714.580000
2024-01-01T03:00,10703.440000
2024-01-01T03:15,10626.930000
2024-01-01T03:30,10598.120000
2024-01-01T03:45,10579.730000
2024-01-01T04:00,10614.470000
2024-01-01T04:15,10661.680000
2024-01-01T04:30,10710.220000
2024-01-01T04:45,10726.830000
2024-01-01T05:00,10851.520000
2024-01-01T05:15,10861.340000
2024-01-01T05:30,10874.690000
2024-01-01T05:45,10911.920000
2024-01-01T06:00,11052.110000
2024-01-01T06:15,11076.470000
2024-01-01T06:30,11202.040000
2024-01-01T06:45,11251.750000
2024-01-01T07:00,11382.460000
2024-01-01T07:15,11556.830000
2024-01-01T07:30,11623.940000
2024-01-01T07:45,11686.270000
2024-01-01T08:00,11789.550000
2024-01-01T08:15,11849.630000
2024-01-01T08:30,11911.640000
2024-01-01T08:45,12063.690000
2024-01-01T09:00,12155.820000
2024-01-01T09:15,12224.210000
2024-01-01T09:30,12246.540000
2024-01-01T09:45,12296.200000
2024-01-01T10:00,12331.840000
2024-01-01T10:15,12352.080000
2024-01-01T10:30,12384.520000
2024-01-01T10:45,12374.460000
2024-01-01T11:00,12379.920000
2024-01-01T11:15,12402.740000
2024-01-01T11:30,12442.690000
2024-01-01T11:45,12496.320000
2024-01-01T12:00,12517.710000
2024-01-01T12:15,12513.510000
2024-01-01T12:30,12549.230000
2024-01-01T12:45,12489.410000
2024-01-01T13:00,12511.640000
2024-01-01T13:15,12568.810000
2024-01-01T13:30,12609.980000
2024-01-01T13:45,12722.510000
2024-01-01T14:00,12829.190000
2024-01-01T14:15,12927.900000
2024-01-01T14:30,12996.320000
2024-01-01T14:45,13165.180000
2024-01-01T15:00,13300.640000
2024-01-01T15:15,13545.050000
2024-01-01T15:30,13656.170000
2024-01-01T15:45,13947.790000
2024-01-01T16:00,14105.650000
2024-01-01T16:15,14303.720000
2024-01-01T16:30,14413.790000
2024-01-01T16:45,14485.480000
2024-01-01T17:00,14495.050000
2024-01-01T17:15,14451.770000
2024-01-01T17:30,14354.820000
2024-01-01T17:45,14301.000000
2024-01-01T18:00,14181.380000
2024-01-01T18:15,14093.380000
2024-01-01T18:30,13906.150000
2024-01-01T18:45,13834.950000
2024-01-01T19:00,13618.090000
2024-01-01T19:15,13414.980000
2024-01-01T19:30,13309.810000
2024-01-01T19:45,13250.790000
2024-01-01T20:00,13135.820000
2024-01-01T20:15,13082.880000
2024-01-01T20:30,12906.860000
2024-01-01T20:45,12790.770000
2024-01-01T21:00,12600.640000
2024-01-01T21:15,12442.450000
2024-01-01T21:30,12232.460000
2024-01-01T21:45,12054.500000
2024-01-01T22:00,11927.400000
2024-01-01T22:15,11796.790000
2024-01-01T22:30,11612.070000
2024-01-01T22:45,11514.760000
2024-01-01T23:00,11475.630000
2024-01-01T23:15,11458.790000
2024-01-01T23:30,11362.170000
2024-01-01T23:45,11203.670000
2024-01-02T00:00,11138.510000
2024-01-02T00:15,11080.620000
2024-01-02T00:30,10992.890000
2024-01-02T00:45,10970.470000
2024-01-02T01:00,10903.680000
2024-01-02T01:15,10896.780000
2024-01-02T01:30,10868.030000
2024-01-02T01:45,10807.540000
2024-01-02T02:00,10838.260000
2024-01-02T02:15,10807.980000
2024-01-02T02:30,10812.330000
2024-01-02T02:45,10800.500000
2024-01-02T03:00,10820.460000
2024-01-02T03:15,10875.210000
2024-01-02T03:30,10896.360000
2024-01-02T03:45,10965.820000
2024-01-02T04:00,11110.160000
2024-01-02T04:15,11231.660000
2024-01-02T04:30,11375.630000
2024-01-02T04:45,11565.750000
2024-01-02T05:00,11954.690000
2024-01-02T05:15,12204.920000
2024-01-02T05:30,12479.490000
2024-01-02T05:45,12728.540000
2024-01-02T06:00,13229.040000
2024-01-02T06:15,13575.630000
2024-01-02T06:30,13919.480000
2024-01-02T06:45,14277.780000
2024-01-02T07:00,14632.180000
2024-01-02T07:15,14934.430000
2024-01-02T07:30,15153.030000
2024-01-02T07:45,15348.360000
2024-01-02T08:00,15484.010000
2024-01-02T08:15,15591.770000
2024-01-02T08:30,15672.210000
2024-01-02T08:45,15689.640000
2024-01-02T09:00,15635.590000
2024-01-02T09:15,15562.970000
2024-01-02T09:30,15528.510000
2024-01-02T09:45,15554.970000
2024-01-02T10:00,15593.430000
2024-01-02T10:15,15636.620000
2024-01-02T10:30,15705.300000
2024-01-02T10:45,15768.960000
2024-01-02T11:00,15863.260000
2024-01-02T11:15,15986.660000
2024-01-02T11:30,15984.080000
2024-01-02T11:45,16011.250000
2024-01-02T12:00,16036.990000
2024-01-02T12:15,16063.880000
2024-01-02T12:30,16068.960000
2024-01-02T12:45,16068.260000
2024-01-02T13:00,16039.320000
2024-01-02T13:15,16012.010000
2024-01-02T13:30,16042.950000
2024-01-02T13:45,16042.800000
2024-01-02T14:00,16083.010000
2024-01-02T14:15,16120.720000
2024-01-02T14:30,16216.000000
2024-01-02T14:45,16276.280000
2024-01-02T15:00,16354.610000
2024-01-02T15:15,16414.350000
2024-01-02T15:30,16536.210000
2024-01-02T15:45,16793.410000
2024-01-02T16:00,16941.590000
2024-01-02T16:15,17053.630000
2024-01-02T16:30,17115.140000
2024-01-02T16:45,17042.430000
2024-01-02T17:00,16742.900000
2024-01-02T17:15,16508.380000
2024-01-02T17:30,16347.650000
2024-01-02T17:45,16198.630000
2024-01-02T18:00,15982.200000
2024-01-02T18:15,15827.740000
2024-01-02T18:30,15640.770000
2024-01-02T18:45,15584.730000
2024-01-02T19:00,15271.500000
2024-01-02T19:15,15108.060000
2024-01-02T19:30,14947.600000
2024-01-02T19:45,14785.080000
2024-01-02T20:00,14532.130000
2024-01-02T20:15,14395.300000
2024-01-02T20:30,14221.530000
2024-01-02T20:45,14011.410000
2024-01-02T21:00,13728.460000
2024-01-02T21:15,13538.380000
2024-01-02T21:30,13346.640000
2024-01-02T21:45,13150.280000
2024-01-02T22:00,12882.880000
2024-01-02T22:15,12689.120000
2024-01-02T22:30,12525.310000
2024-01-02T22:45,12403.650000
2024-01-02T23:00,12304.780000
2024-01-02T23:15,12042.070000
2024-01-02T23:30,12000.040000
2024-01-02T23:45,11936.330000
2024-01-03T00:00,11658.110000
2024-01-03T00:15,11587.380000
2024-01-03T00:30,11586.110000
2024-01-03T00:45,11561.460000
2024-01-03T01:00,11438.740000
2024-01-03T01:15,11387.010000
2024-01-03T01:30,11393.890000
2024-01-03T01:45,11379.930000
2024-01-03T02:00,11420.010000
2024-01-03T02:15,11449.710000
2024-01-03T02:30,11362.670000
2024-01-03T02:45,11299.490000
2024-01-03T03:00,11309.010000
2024-01-03T03:15,11309.980000
2024-01-03T03:30,11362.430000
2024-01-03T03:45,11404.660000
2024-01-03T04:00,11562.070000
2024-01-03T04:15,11697.790000
2024-01-03T04:30,11831.620000
2024-01-03T04:45,11962.190000
2024-01-03T05:00,12396.810000
2024-01-03T05:15,12723.750000
2024-01-03T05:30,12984.140000
2024-01-03T05:45,13271.030000
2024-01-03T06:00,13705.020000
2024-01-03T06:15,14076.020000
2024-01-03T06:30,14440.950000
2024-01-03T06:45,14727.810000
2024-01-03T07:00,15197.070000
2024-01-03T07:15,15418.530000
2024-01-03T07:30,15640.930000
2024-01-03T07:45,15819.160000
2024-01-03T08:00,15934.080000
2024-01-03T08:15,16117.000000
2024-01-03T08:30,16139.820000
2024-01-03T08:45,16142.490000
2024-01-03T09:00,16114.680000
2024-01-03T09:15,16091.230000
2024-01-03T09:30,16008.730000
2024-01-03T09:45,15964.520000
2024-01-03T10:00,15897.060000
2024-01-03T10:15,15828.340000
2024-01-03T10:30,15804.740000
2024-01-03T10:45,15847.020000
2024-01-03T11:00,15903.110000
2024-01-03T11:15,15904.540000
2024-01-03T11:30,15835.300000
2024-01-03T11:45,15889.030000
2024-01-03T12:00,15929.200000
2024-01-03T12:15,15900.650000
2024-01-03T12:30,15847.300000
2024-01-03T12:45,15818.600000
2024-01-03T13:00,15820.460000
2024-01-03T13:15,15889.520000
2024-01-03T13:30,15872.250000
2024-01-03T13:45,15965.180000
2024-01-03T14:00,15972.060000
2024-01-03T14:15,16094.620000
2024-01-03T14:30,16226.210000
2024-01-03T14:45,16305.530000
2024-01-03T15:00,16399.610000
2024-01-03T15:15,16505.700000
2024-01-03T15:30,16616.510000
2024-01-03T15:45,16930.420000
2024-01-03T16:00,17039.960000
2024-01-03T16:15,17271.780000
2024-01-03T16:30,17365.230000
2024-01-03T16:45,17310.290000
2024-01-03T17:00,16938.230000
2024-01-03T17:15,16635.560000
2024-01-03T17:30,16452.360000
2024-01-03T17:45,16318.390000
2024-01-03T18:00,16185.310000
2024-01-03T18:15,16015.850000
2024-01-03T18:30,15846.640000
2024-01-03T18:45,15760.190000
2024-01-03T19:00,15581.360000
2024-01-03T19:15,15432.660000
2024-01-03T19:30,15225.490000
2024-01-03T19:45,15040.900000
2024-01-03T20:00,14829.880000
2024-01-03T20:15,14670.720000
2024-01-03T20:30,14459.820000
2024-01-03T20:45,14263.120000
2024-01-03T21:00,14017.500000
2024-01-03T21:15,13841.020000
2024-01-03T21:30,13647.380000
2024-01-03T21:45,13425.860000
2024-01-03T22:00,13282.960000
2024-01-03T22:15,13059.970000
2024-01-03T22:30,12841.680000
2024-01-03T22:45,12695.120000
2024-01-03T23:00,12509.790000
2024-01-03T23:15,12420.860000
2024-01-03T23:30,12319.420000
2024-01-03T23:45,12222.090000
2024-01-04T00:00,12151.990000
2024-01-04T00:15,12064.410000
2024-01-04T00:30,11963.270000
2024-01-04T00:45,11860.060000
2024-01-04T01:00,11760.240000
2024-01-04T01:15,11664.730000
2024-01-04T01:30,11570.970000
2024-01-04T01:45,11515.790000
2024-01-04T02:00,11555.420000
2024-01-04T02:15,11554.740000
2024-01-04T02:30,11539.950000
2024-01-04T02:45,11473.930000
2024-01-04T03:00,11485.840000
2024-01-04T03:15,11461.910000
2024-01-04T03:30,11483.510000
2024-01-04T03:45,11515.680000
2024-01-04T04:00,11580.600000
2024-01-04T04:15,11703.000000
2024-01-04T04:30,11844.130000
2024-01-04T04:45,11942.590000
2024-01-04T05:00,12383.310000
2024-01-04T05:15,12634.060000
2024-01-04T05:30,12864.510000
2024-01-04T05:45,13179.460000
2024-01-04T06:00,13773.510000
2024-01-04T06:15,14160.450000
2024-01-04T06:30,14545.560000
2024-01-04T06:45,14892.460000
2024-01-04T07:00,15283.430000
2024-01-04T07:15,15570.700000
2024-01-04T07:30,15813.560000
2024-01-04T07:45,15996.520000
2024-01-04T08:00,16142.020000
2024-01-04T08:15,16255.810000
2024-01-04T08:30,16303.170000
2024-01-04T08:45,16297.500000
2024-01-04T09:00,16258.180000
2024-01-04T09:15,16189.060000
2024-01-04T09:30,16137.640000
2024-01-04T09:45,16075.410000
2024-01-04T10:00,15982.950000
2024-01-04T10:15,15944.360000
2024-01-04T10:30,15879.250000
2024-01-04T10:45,15844.770000
2024-01-04T11:00,15824.360000
2024-01-04T11:15,15773.180000
2024-01-04T11:30,15682.520000
2024-01-04T11:45,15698.630000
2024-01-04T12:00,15705.850000
2024-01-04T12:15,15762.980000
2024-01-04T12:30,15723.030000
2024-01-04T12:45,15661.060000
2024-01-04T13:00,15621.190000
2024-01-04T13:15,15635.360000
2024-01-04T13:30,15639.160000
2024-01-04T13:45,15729.590000
2024-01-04T14:00,15766.240000
2024-01-04T14:15,15792.380000
2024-01-04T14:30,15860.650000
2024-01-04T14:45,15967.590000
2024-01-04T15:00,16038.790000
2024-01-04T15:15,16208.650000
2024-01-04T15:30,16456.460000
2024-01-04T15:45,16771.750000
2024-01-04T16:00,16903.020000
2024-01-04T16:15,17181.220000
2024-01-04T16:30,17286.430000
2024-01-04T16:45,17228.180000
2024-01-04T17:00,16875.560000
2024-01-04T17:15,16614.400000
2024-01-04T17:30,16469.850000
2024-01-04T17:45,16337.250000
2024-01-04T18:00,16150.350000
2024-01-04T18:15,15990.630000
2024-01-04T18:30,15847.280000
2024-01-04T18:45,15791.000000
2024-01-04T19:00,15623.300000
2024-01-04T19:15,15381.520000
2024-01-04T19:30,15201.200000
2024-01-04T19:45,15063.450000
2024-01-04T20:00,14857.480000
2024-01-04T20:15,14660.810000
2024-01-04T20:30,14461.080000
2024-01-04T20:45,14308.330000
2024-01-04T21:00,14026.260000
2024-01-04T21:15,13821.220000
2024-01-04T21:30,13559.010000
2024-01-04T21:45,13379.970000
2024-01-04T22:00,13218.010000
2024-01-04T22:15,13089.120000
2024-01-04T22:30,12901.250000
2024-01-04T22:45,12763.870000
2024-01-04T23:00,12543.770000
2024-01-04T23:15,12423.430000
2024-01-04T23:30,12326.710000
2024-01-04T23:45,12205.200000
2024-01-05T00:00,12131.820000
2024-01-05T00:15,12040.770000
2024-01-05T00:30,11943.700000
2024-01-05T00:45,11816.770000
2024-01-05T01:00,11772.390000
2024-01-05T01:15,11716.880000
2024-01-05T01:30,11652.450000
2024-01-05T01:45,11607.440000
2024-01-05T02:00,11588.910000
2024-01-05T02:15,11540.350000
2024-01-05T02:30,11520.600000
2024-01-05T02:45,11479.940000
2024-01-05T03:00,11512.720000
2024-01-05T03:15,11486.650000
2024-01-05T03:30,11510.910000
2024-01-05T03:45,11553.340000
2024-01-05T04:00,11713.550000
2024-01-05T04:15,11842.640000
2024-01-05T04:30,12008.270000
2024-01-05T04:45,12160.110000
2024-01-05T05:00,12583.550000
