time,value (MW)
2024-01-01T00:00,13695.190000
2024-01-01T01:00,13190.860000
2024-01-01T02:00,12752.410000
2024-01-01T03:00,12708.300000
2024-01-01T04:00,12810.550000
2024-01-01T05:00,13031.380000
2024-01-01T06:00,13042.590000
2024-01-01T07:00,13265.000000
2024-01-01T08:00,13970.260000
2024-01-01T09:00,14833.450000
2024-01-01T10:00,15593.630000
2024-01-01T11:00,16178.480000
2024-01-01T12:00,16679.210000
2024-01-01T13:00,16669.610000
2024-01-01T14:00,16752.640000
2024-01-01T15:00,17333.630000
2024-01-01T16:00,17323.300000
2024-01-01T17:00,17262.660000
2024-01-01T18:00,17301.560000
2024-01-01T19:00,17014.400000
2024-01-01T20:00,16213.790000
2024-01-01T21:00,15424.540000
2024-01-01T22:00,14435.160000
2024-01-01T23:00,13653.490000
2024-01-02T00:00,13216.510000
2024-01-02T01:00,12978.100000
2024-01-02T02:00,13100.900000
2024-01-02T03:00,13510.310000
2024-01-02T04:00,14635.700000
2024-01-02T05:00,17228.640000
2024-01-02T06:00,19191.150000
2024-01-02T07:00,20306.690000
2024-01-02T08:00,21046.260000
2024-01-02T09:00,21249.060000
2024-01-02T10:00,21560.730000
2024-01-02T11:00,21724.680000
2024-01-02T12:00,22047.830000
2024-01-02T13:00,21734.260000
2024-01-02T14:00,21876.730000
2024-01-02T15:00,22418.940000
2024-01-02T16:00,22289.950000
2024-01-02T17:00,21948.500000
2024-01-02T18:00,21704.540000
2024-01-02T19:00,21113.130000
2024-01-02T20:00,19855.460000
2024-01-02T21:00,18607.430000
2024-01-02T22:00,17226.250000
2024-01-02T23:00,16156.630000
2024-01-03T00:00,15545.880000
2024-01-03T01:00,15404.750000
2024-01-03T02:00,15332.560000
2024-01-03T03:00,15769.390000
2024-01-03T04:00,16799.600000
2024-01-03T05:00,19403.930000
2024-01-03T06:00,21485.380000
2024-01-03T07:00,22722.250000
2024-01-03T08:00,22945.030000
2024-01-03T09:00,22851.880000
2024-01-03T10:00,22971.250000
2024-01-03T11:00,23051.850000
2024-01-03T12:00,23236.160000
2024-01-03T13:00,22836.100000
2024-01-03T14:00,22938.150000
2024-01-03T15:00,23417.260000
2024-01-03T16:00,23485.860000
2024-01-03T17:00,23186.050000
2024-01-03T18:00,22943.710000
2024-01-03T19:00,22288.000000
2024-01-03T20:00,20909.440000
2024-01-03T21:00,19363.140000
2024-01-03T22:00,17998.230000
2024-01-03T23:00,16907.540000
2024-01-04T00:00,16427.410000
2024-01-04T01:00,16057.210000
2024-01-04T02:00,15975.880000
2024-01-04T03:00,16398.950000
2024-01-04T04:00,17352.090000
2024-01-04T05:00,19853.710000
2024-01-04T06:00,21717.130000
2024-01-04T07:00,22639.310000
2024-01-04T08:00,23016.850000
2024-01-04T09:00,22916.590000
2024-01-04T10:00,23326.100000
2024-01-04T11:00,23689.800000
2024-01-04T12:00,23623.860000
2024-01-04T13:00,23233.790000
2024-01-04T14:00,23291.080000
2024-01-04T15:00,23935.350000
2024-01-04T16:00,23875.850000
2024-01-04T17:00,23715.580000
2024-01-04T18:00,23559.230000
2024-01-04T19:00,22962.230000
2024-01-04T20:00,21606.090000
2024-01-04T21:00,20054.360000
2024-01-04T22:00,18834.280000
2024-01-04T23:00,17901.840000
2024-01-05T00:00,17342.600000
2024-01-05T01:00,17122.980000
2024-01-05T02:00,17094.040000
2024-01-05T03:00,17568.150000
2024-01-05T04:00,18417.950000
2024-01-05T05:00,20979.930000
2024-01-05T06:00,22927.330000
2024-01-05T07:00,23809.830000
2024-01-05T08:00,24292.860000
2024-01-05T09:00,24179.210000
2024-01-05T10:00,24299.750000
2024-01-05T11:00,24515.960000
2024-01-05T12:00,24288.040000
2024-01-05T13:00,23948.640000
2024-01-05T14:00,23897.610000
2024-01-05T15:00,24524.250000
2024-01-05T16:00,24445.230000
2024-01-05T17:00,24032.440000
2024-01-05T18:00,23672.940000
2024-01-05T19:00,23064.360000
2024-01-05T20:00,21729.340000
2024-01-05T21:00,20425.500000
2024-01-05T22:00,19165.240000
2024-01-05T23:00,17940.550000
2024-01-06T00:00,17201.510000
2024-01-06T01:00,16715.540000
2024-01-06T02:00,16506.300000
2024-01-06T03:00,16333.230000
2024-01-06T04:00,16207.030000
2024-01-06T05:00,16461.600000
2024-01-06T06:00,16823.090000
2024-01-06T07:00,17794.280000
2024-01-06T08:00,18937.890000
2024-01-06T09:00,19799.190000
2024-01-06T10:00,20271.700000
2024-01-06T11:00,20459.010000
2024-01-06T12:00,20591.330000
2024-01-06T13:00,20406.530000
2024-01-06T14:00,20183.900000
2024-01-06T15:00,20592.500000
2024-01-06T16:00,20455.330000
2024-01-06T17:00,20209.300000
2024-01-06T18:00,19959.930000
2024-01-06T19:00,19586.190000
2024-01-06T20:00,18765.530000
2024-01-06T21:00,18062.560000
2024-01-06T22:00,17040.290000
2024-01-06T23:00,16326.330000
2024-01-07T00:00,15637.140000
2024-01-07T01:00,15471.810000
2024-01-07T02:00,15362.160000
2024-01-07T03:00,15476.100000
2024-01-07T04:00,15632.500000
2024-01-07T05:00,16278.880000
2024-01-07T06:00,16819.440000
2024-01-07T07:00,17611.900000
2024-01-07T08:00,18909.060000
2024-01-07T09:00,19807.060000
2024-01-07T10:00,20460.040000
2024-01-07T11:00,20700.500000
2024-01-07T12:00,20968.640000
2024-01-07T13:00,20648.940000
2024-01-07T14:00,20467.190000
2024-01-07T15:00,21024.780000
2024-01-07T16:00,21256.450000
2024-01-07T17:00,21489.730000
2024-01-07T18:00,21570.240000
2024-01-07T19:00,21186.280000
2024-01-07T20:00,20235.150000
2024-01-07T21:00,19440.850000
2024-01-07T22:00,18291.250000
2024-01-07T23:00,17483.800000
2024-01-08T00:00,17180.400000
2024-01-08T01:00,16919.060000
2024-01-08T02:00,17042.480000
2024-01-08T03:00,17597.880000
2024-01-08T04:00,18830.340000
2024-01-08T05:00,22134.630000
2024-01-08T06:00,24657.860000
2024-01-08T07:00,25977.090000
2024-01-08T08:00,26662.080000
2024-01-08T09:00,26831.440000
2024-01-08T10:00,27030.480000
2024-01-08T11:00,26985.230000
2024-01-08T12:00,26929.880000
2024-01-08T13:00,26535.700000
2024-01-08T14:00,26455.200000
2024-01-08T15:00,27079.700000
2024-01-08T16:00,27106.360000
2024-01-08T17:00,26693.640000
2024-01-08T18:00,26546.280000
2024-01-08T19:00,26007.040000
2024-01-08T20:00,24546.790000
2024-01-08T21:00,23090.610000
2024-01-08T22:00,21709.080000
2024-01-08T23:00,20706.080000
2024-01-09T00:00,20273.750000
2024-01-09T01:00,20007.350000
2024-01-09T02:00,19947.230000
2024-01-09T03:00,20348.210000
2024-01-09T04:00,21300.300000
2024-01-09T05:00,24175.840000
2024-01-09T06:00,26406.230000
2024-01-09T07:00,27561.590000
2024-01-09T08:00,28271.500000
2024-01-09T09:00,28303.880000
2024-01-09T10:00,28049.560000
2024-01-09T11:00,27796.150000
2024-01-09T12:00,27664.430000
2024-01-09T13:00,26987.150000
2024-01-09T14:00,26769.230000
2024-01-09T15:00,27442.200000
2024-01-09T16:00,27610.110000
2024-01-09T17:00,27336.860000
2024-01-09T18:00,27115.960000
2024-01-09T19:00,26573.200000
2024-01-09T20:00,24968.230000
2024-01-09T21:00,23410.430000
2024-01-09T22:00,21910.700000
2024-01-09T23:00,20830.660000
2024-01-10T00:00,20301.890000
2024-01-10T01:00,20091.350000
2024-01-10T02:00,20145.790000
2024-01-10T03:00,20592.380000
2024-01-10T04:00,21542.640000
2024-01-10T05:00,24493.650000
2024-01-10T06:00,26538.010000
2024-01-10T07:00,27582.710000
2024-01-10T08:00,28118.140000
2024-01-10T09:00,27983.740000
2024-01-10T10:00,27927.730000
2024-01-10T11:00,27685.400000
2024-01-10T12:00,27423.350000
2024-01-10T13:00,26824.010000
2024-01-10T14:00,26790.440000
2024-01-10T15:00,27384.540000
2024-01-10T16:00,27456.560000
2024-01-10T17:00,27136.400000
2024-01-10T18:00,26989.200000
2024-01-10T19:00,26167.330000
2024-01-10T20:00,24611.340000
2024-01-10T21:00,22920.000000
